Text,Label
cultural services and related goods are mostly related to the pleasure inspiration or spiritual or religious enrichment people derive from spending time in nature particularly pas table 8 1 the drivers behind these often intangible benefits are as manifold as the motivations of people visiting pas the benefits derived can relate to enjoying nature s amenities and tranquillity observing different habitats and species and gaining a deeper understanding of nature s functions nature is also often used as a destination for religious pilgrimages or as a medium for building social relations some visitors may be driven by educational reasons others in search of artistic inspiration or even for technological innovations in practice the visits to pas often combine and interlink several different benefits table 8 1 cultural services and related goods https www niso org standards z39 96 ns oasis exchange table ecosystem service examples of related goods opportunities for recreation and tourism hiking camping nature walks jogging winter sports water sports angling wildlife watching horse riding hunting cycling and climbing resulting in increased mental well being and health including avoided stress and related mental illnesses increased physical health increased productivity decreased sick days leave decreased health costs to employers and society aesthetic values enjoyment of rural diversified unique and colourful landscapes individual habitats and species and tranquillity supporting mental well being see above inspiration for the arts science and technology writing painting designs documentaries movies non fiction and fiction books biomimicry for technology engineering materials and architecture information for education and research educational trips by schools and other groups employee training research on and off site related to ecosystem functions species and genetic material leading to scientific understanding publications and patents spiritual and religious experience natural and built sacred places philosophy and faith support to mental well being see above cultural identify and heritage landscapes and habitats formed by human activities species of spiritual importance traditional and indigenous knowledge traditional crops cuisine and culture source own presentation based on ma 2005 de groot et al 2010 uk nea 2011 bio intelligence service 2011 kettunen et al 2013 gantioler et al 2010 2013 marianne kettunen and patrick ten brink selection and editorial material individual chapters the authors No Keywords,Smart_Mobility
one of the main features of the physical environment in which humans live is spatial dimensionality when we think about 3d we usually refer to 3d video even if it is not the only existing channel of natural interaction on the contrary related work in the field of 3d audio mainly refers to the investigation of acoustic effects by adding reverberation in the context of virtual 3d environments in this paper we present an interaction system based on spatialized sounds we developed an innovative cloud application in the cultural heritage context a personal guide in 3d sound attracting the tourists attention toward monuments or buildings offering sound scapes of augmented reality the designed system interacts with smart headphones that remotely takes the orientation of the listener s head and properly generates an audio output which also takes into account the listener s position and orientation in the environment thus such innovative headphones using an inertial measurement unit for determining the orientation of user s head have been designed and developed in open ear mode in order to locate the user in the real context 3d audio augumented reality video analysis acoustics augmented reality headphones loudspeakers units of measurement 3d audio augumented reality inertial measurement unit physical environments position and orientations spatial dimensionalities video analysis virtual 3d environments audio acoustics,Tech_Communication
the objective of this paper is to present an extended definition of intelligent organizations their mathematical and functional model the implementation of this model on the example of intelligent organizations in tourism as well as certain preliminary findings on the basis of which their fundamental function in practice can be grasped in this new intelligent organization model concepts of business intelligence knowledge management intelligent systems technology as well as some modern forms such as virtual learning and dynamic organizations have been incorporated intelligent organizations enable the integration of core activities skills and resources of dislocated interested parties and are capable of adapting to today s turbulent environment in accordance with their independently defined optimality models in this paper technological solutions and services are proposed by means of which basic information functions of an intelligent organization are accomplished modules are considered to be constituent parts of such a system and their models have been developed by means of uml notation so as to cover all the phases of an intelligent organization functioning the system consists of several modules including realization of virtual intelligent organizations electronic survey multimedia information display product creation and configuration strategy development support and management benchmarking recommendations for purchasers and a web based group work support system in the paper testing the learning process and the functioning of an intelligent organization is described on a pilot project aimed at researching customer satisfaction among coffee bar customers in varaždin in 2003 on a sample including 1200 surveyees the development of the model and the accomplished and tested functionality of intelligent organization segments have made it possible to define the topics for further research as well as formulate a number of problems and implementation possibilities customer satisfaction decision support systems electronic commerce information systems intelligent systems knowledge management management science dynamic organization electronic survey information function intelligent organizations multimedia information strategy development technological solution turbulent environments functions,Tech_Communication
e tourism has become a key component in the tourism industry and allows travelers to easily access information about destinations and services via the internet facilitating their travel planning process through e tourism travelers can research destinations plan trips book accommodations purchase transportation tickets and explore tourist attractions through online resources also this area helps tourism businesses to effectively promote their services communicate with clients and manage reservations e tourism represents the integration of information and communication technologies in the tourism sector this concept encompasses the application of digital technologies such as the internet mobile applications online reservation systems web platforms and social media to improve aspects of travel and tourism the legal foundation of educational procedures utilizing artificial intelligence algorithms in e tourism holds significant importance because of the multitude of potential legal complexities and obstacles that could emerge the republic of serbia like many other countries is working on improving its regulations in order to enable the development of e tourism and at the same time ensure the protection of the interests and safety of travelers 2024 by the authors this article is an open access article distributed under the terms and conditions of the creative commons attribution cc by license https creativecommons org licenses by 4 0 artificial intelligence e tourism internet legal regulations user safety,Smart_Mobility
an optimal velocity trajectory planning strategy for the autonomous rail rapid tram art is proposed in this paper to guarantee the punctuality of operation minimize energy consumption and improve the energy efficiency considering terrain and traffic lights a multi particle model based on the longitudinal dynamics of the art is adopted in the strategy design which can accurately describe the forces applied to three carriages of the art on different terrain in order to pass the traffic lights at green time and reach the destination within the predetermined time margin with minimal energy consumption an optimization strategy based on dynamic programming dp algorithm is constructed for velocity trajectory planning simulations in matlab simulink environment are conducted to validate effectiveness of the proposed velocity planning strategy the simulation results illustrate that the art could reach the station on time accurately without stopping at the traffic light when compared to the constant speed cruising the proposed strategy could obtain 18 3 reduction of energy consumption which verifies its superiority and practicability in energy saving 2020 ieee energy efficiency energy utilization highway traffic control intelligent systems intelligent vehicle highway systems landforms matlab trajectories trolley cars velocity different terrains longitudinal dynamics matlab simulink environment multi particle models optimal velocity optimization strategy velocity planning velocity trajectories dynamic programming,AI_Tourism
the essence of tourism security issues is the inefficient allocation of travel safety risk the market allocation of travel safety risk is resulted by the positive externalities of tourism security the negative internalities of tourism transaction and the defects of market competition the institution of tourism security responsibility and the current insurance system does not provide scientific and effective interest arrangements and even provide an incentive for the misconduct so that the market allocation of travel safety risk is further distorted therefore the intervention from government to correct the defects of tourism market and perfect the institute of tourism security is the fundamental path to solve the issues of tourism safety and security 2011 ieee artificial intelligence competition defects management science distort market competition market failures safety risks security issues tourism tourism security electronic commerce distort market failure security issues tourism,Smart_Mobility
the proceedings contain 100 papers the special focus in this conference is on e business the topics include a product recommendation algorithm based on knapsack optimization a research on tourism e business of shanxi a study of third party online payment risk control and supervision analysis a study on trust of e commerce market based on multi agents model a study on urban tourism competitiveness of henan province a study on the competitiveness of chinese nonferrous metals industry based on principle component analysis a study on the construction of tourism e commerce system based on semantic web services a study on the productivity review for management of performance using bibliometric methodology an analysis of electronic data as a type of legal evidence an empirical study of sentiment analysis for chinese microblogging an empirical study on the corporate performance change of top management turnover an intelligent trade matching system for b2b marketplace analysis of development strategy on intelligent logistics in chengdu based on internet of things analysis of e business and traditional business based on the modified akerlof model analysis of influencing factors of taobao consumer behavior analysis of overall e business solution on personalized medical care taking private hospitals for example analysis the present situation of chinese electronic government based on fundamental data analysis the present situation of chinese electronic government based on fundamental data applying technology acceptance model to explore the determinants of mobile health service from the perspective of public user change support in cross organizational dynamic process aware software architecture a pattern based analysis No Keywords,Smart_Mobility
the study presents a systematic literature review conducted following a rigorous search protocol that identified 7900 articles published in scopus indexed journals in 2001 2021 these articles were filtered using the prisma approach resulting in the selection of 61 relevant papers the research outcome offers essential insights into the core characteristics of smart cities in urban development encompassing five primary dimensions government citizens technology mobility and the environment over the past two decades the findings of this study benefit smart city stakeholders recommends using the tourism for all destination concept in urban development and contributes to the emerging purple tourism framework 2023 editura universitatii din oradea all rights reserved purple tourism smart city systematic literature review tourism for all urban development exploration literature review smart city tourism development tourist destination urban development,Data_Analysis
this paper presents the reliability and validity analysis of the data collection instrument used in a larger study scale a pilot study has been employed to prove the viability of the questionnaire survey and make improvements prior to the actual survey examining the framework of sustainable facilities management sfm initiatives for malaysia s hotel industry a survey was conducted among 5 star hotels registered under the ministry of tourism arts and culture motac malaysia a total of 34 respondents were successfully recruited from klang valley s hotel staff the reliability and validity analyses of this pilot study were conducted using pls sem smart pls version 3 3 2 the study s findings revealed that the surveyed sfm initiatives in the hotel organisations were statistically significant in addition the findings indicated that the sfm initiatives positively contributed towards sustainable development goals sdg particularly sdg 6 sdg 7 sdg 9 sdg 12 and sdg 13 the study s main implications further confirmed that the instrument used in the pilot study fulfilled the acceptable requirements of the reliability and validity range for the main data collection purpose of the intended study 2022 institute of physics publishing all rights reserved hotel sustainability facilities management sfm sustainable,Data_Analysis
decentralized time division multiple access d tdma is an autonomous slotted protocol originally designed for the single hop periodic broadcast of safety messages with the arrival of new its applications based on multiple wireless link transmissions however the introduction of new mechanisms is essential to share the time domain between single hop periodic broadcast safety messages and multi hop transmission because the scarce 10 mhz band is going to be used as one communication channel in japan a highly reliable medium access control mac scheme is required to handle both safety and multi hop messages we propose the multi hop transmission scheme compatible with single hop periodic broadcast in our solution each terminal that transmits a multi hop packet first starts a slot reservation procedure to avoid packet collisions with safety messages and thus maintain as high a delivery rate as possible then the transmitting nodes use the d tdma structure to check the reception of the multi hop packet at the relay side if any failure is detected the packet is retransmitted as soon as possible concerning the routing algorithm we assume that messages are routed to the destination along the road having the best vehicular traffic and that the road information is provided by d tdma computer simulations were conducted for an urban environment in which vehicles are moving the simulation results show that our scheme maintains the delivery rate of safety messages and can recover multi hop packets in the case of transmission failure 2011 ieee computer simulation intelligent vehicle highway systems medium access control roads and streets transmissions multihop multihop transmission multiple wireless links new mechanisms packet collisions periodic broadcasts safety messages single hop slot reservation time domain transmission failures urban environments vehicle to vehicle communication time division multiple access,Algorithmic_Models
